transaction_id,window,label,task,variant,run_tag,model,prompt_version,company_name,n_headlines_total,n_headlines_sent,n_edgar_filings,window_end_month,latency_s,input_tokens,output_tokens,cost_usd,finish_reason,refusal,parse_ok,error,llm_ma_rumor_intensity,llm_strategic_alternatives_review,llm_activist_pressure,llm_management_instability,llm_financial_distress,llm_undervaluation_narrative,llm_sector_consolidation_wave,llm_regulatory_antitrust_attention,llm_divestiture_restructuring,llm_growth_expansion_tone,llm_acquisition_likelihood,llm_headline_information_quality,llm_dominant_theme,llm_recognized_company,llm_recognized_deal,llm_evidence_quotes,llm_rationale,label_int
SPTRD1800374,pre,1,extract,unmasked,r1,gpt-5-mini,v1,Great American Life Insurance Company,0,0,5,2021-01,4.42,931,219,0.000671,stop,0,1,,0,0,0,0,0,0,0,0,0,0,2,0,other,1,0,[],"No headlines provided; only that five Form 8-Ks were filed—insufficient textual evidence for M&A signals, so assign near-zero scores and a low acquisition likelihood.",1
SPTRD1954425,baseline,0,extract,unmasked,r1,gpt-5-mini,v1,"Twitter, Inc.",0,0,91,2021-10,4.43,927,208,0.000648,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,0,other,1,0,[],No headlines provided—cannot infer signals; neutral moderate acquisition likelihood only because company identity is given but no text evidence exists.,0
SPTRD2085471,baseline,0,extract,unmasked,r1,gpt-5-mini,v1,Copeland LP*,43,43,2,2023-12,2.38,2039,235,0.00098,stop,0,1,,0,0,0,0,1,0,0,0,0,0,2,2,other,0,0,"[""Suicide rates highest in Copeland and Barrow according to report""]","Headlines contain virtually no M&A-related language; only a single headline names Copeland in a non-financial context, so signals for deal activity are essentially absent.",0
SPTRD2085471,pre,1,extract,unmasked,r1,gpt-5-mini,v1,Copeland LP*,43,43,6,2024-05,1.85,2084,169,0.000859,stop,0,1,,0,0,0,0,0,0,0,0,0,1,1,1,other,0,0,[],"Headlines are unrelated to corporate M&A: coverage is entertainment/local news; only slight growth/operational signal at best, so near-zero M&A precursor evidence.",1
SPTRD2030080,pre,1,extract,unmasked,r1,gpt-5-mini,v1,Commercial Renewables business,2,2,1,2023-06,2.53,997,260,0.000769,stop,0,1,,0,0,0,0,1,0,0,0,0,2,5,3,earnings,1,0,"[""Duke Energy delivers sustainable value as it responsibly navigates clean energy transition , CEO tells shareholders at annual meeting"", ""Warm winter cuts energy use and sends Duke Energy profits lower""]","Headlines focus on earnings impact from weather and strategic transition messaging; no deal talk or activism, so acquisition likelihood is low-to-moderate but not supported by explicit signals.",1
SPTRD217334,pre,1,extract,unmasked,r1,gpt-5-mini,v1,Columbia Pipeline Partners LP,0,0,10,2016-09,1.99,928,176,0.000584,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,1,other,1,0,[],"No headlines provided; only company name, period, and that multiple Form 8‑Ks were filed—insufficient specific signals, so assign low scores and a middling short‑term acquisition probability.",1
SPTRD2030080,baseline,0,extract,unmasked,r1,gpt-5-mini,v1,Commercial Renewables business,4,4,1,2022-12,2.8,1043,287,0.000835,stop,0,1,,8,7,1,2,4,6,3,1,7,2,60,7,ma_speculation,1,0,"[""Duke Energy hopes renewable biz sale makes stock more attractive"", ""Duke Energy ( NYSE : DUK ) Kicks Off Sale Process for $4 Billion Renewable Unit"", ""Duke Energy Slashes FY22 Outlook As Q3 Adj . EPS Miss Estimates""]","Multiple headlines explicitly state a sale process for a $4B renewables unit amid a profit outlook cut and commentary about making the stock more attractive, indicating a credible near-term divestiture and buyout interest.",0
SPTRD217334,baseline,0,extract,unmasked,r1,gpt-5-mini,v1,Columbia Pipeline Partners LP,0,0,11,2016-03,3.03,928,175,0.000582,stop,0,1,,0,0,0,0,1,0,0,0,0,0,5,1,other,1,0,[],"No headlines provided; only that Columbia Pipeline had eleven 8‑K filings—suggestive of routine disclosures but no explicit M&A signals, so low scores overall with a modest baseline acquisition probability.",0
SPTRD315846,pre,1,extract,unmasked,r1,gpt-5-mini,v1,Swift Transportation Company,0,0,6,2017-04,2.03,936,176,0.000586,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,1,other,1,0,[],"Only basic metadata (company name, filing types and counts) provided; no headlines or content to signal M&A activity—assign low scores with a neutral mid-range acquisition likelihood due to lack of information.",1
SPTRD315846,baseline,0,extract,unmasked,r1,gpt-5-mini,v1,Swift Transportation Company,0,0,5,2016-10,2.71,929,219,0.00067,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,1,other,1,0,[],"No headlines provided; only company name, period and five Form 8‑Ks—insufficient direct M&A signals, so baseline low scores with a modest generic acquisition likelihood.",0
SPTRD1790142,pre,1,extract,masked,r1,gpt-5-mini,v1,"Pluralsight, LLC*",0,0,2,2020-12,2.78,929,213,0.000658,stop,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,other,0,0,[],"No headlines or substantive text provided; only two generic Form 8‑K filings noted, so there is effectively no evidence of M&A signals.",1
SPTRD1790142,baseline,0,extract,masked,r1,gpt-5-mini,v1,"Pluralsight, LLC*",0,0,5,2020-06,2.78,929,218,0.000668,stop,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,other,0,0,[],"No headlines provided; only that five 8‑K filings occurred—insufficient textual evidence to infer M&A signals, so scores default to zero and negligible acquisition likelihood.",0
SPTRD1682496,pre,1,extract,masked,r1,gpt-5-mini,v1,"TerraForm Power, Inc.",0,0,6,2020-01,2.78,929,173,0.000578,stop,0,1,,0,0,0,0,0,0,0,0,0,0,2,0,other,0,0,[],"No headlines provided; only that six Form 8‑Ks were filed—insufficient textual evidence for M&A signals, so scores default to near zero with a minimal baseline acquisition likelihood.",1
SPTRD1767480,pre,1,extract,masked,r1,gpt-5-mini,v1,ZeniMax Media Inc.*,16,16,1,2020-09,2.79,1306,272,0.00087,stop,0,1,,0,0,0,0,0,0,1,0,0,2,5,2,other,0,0,"[""Mobile games platform Skillz to go public via merger with SPAC Flying Eagle Acquisition"", ""San Francisco mobile gaming company Skillz to go public through SPAC""]","Coverage is dominated by unrelated personal news and a single clear SPAC listing headline for Skillz; no deal rumors, strategic-review, activist or distress signals are present, so acquisition likelihood is low–moderate mainly due to a public-SPAC transaction mention.",1
SPTRD1767480,baseline,0,extract,masked,r1,gpt-5-mini,v1,ZeniMax Media Inc.*,7,7,0,2020-03,3.36,1127,285,0.000852,stop,0,1,,3,0,0,0,0,0,2,0,0,2,8,3,ma_speculation,0,0,"[""Dont Believe the Sony Buying [COMPANY] Rumor , It Baseless and Likely Fake"", ""Sony Rumored Acquisition Of [COMPANY] Kicks Off 2020"", ""Ridiculous Rumour Claims Sony Is About to Buy Bethesda Parent Company [COMPANY] and All Its Studios""]","Multiple contemporaneous headlines explicitly rumor an imminent Sony acquisition, though sources look like lightweight gaming sites and some reports deny the rumor, so signal is present but not strong.",0
SPTRD1682496,baseline,0,extract,masked,r1,gpt-5-mini,v1,"TerraForm Power, Inc.",36,36,3,2019-07,3.41,1877,330,0.001129,stop,0,1,,1,1,2,1,1,2,3,0,0,6,8,5,macro_sector,0,0,"[""SHAREHOLDER ALERT : Purcell Julie & Lefkowitz LLP Is Investigating [COMPANY] [COMPANY] , Inc . for Potential Breaches Of Fiduciary Duty By Its Board of Directors (prnewswire.com)"", ""[COMPANY] [COMPANY] ( TERP ) Presents At J . P . Morgan 2019 Energy Conference - Slideshow (seekingalpha.com)"", ""Management coup at 2nd - largest U . S . solar developer (pv-magazine-usa.com)""]",Coverage is mostly sector/earnings/growth-oriented with one shareholder investigation and frequent buy/ dividend storylines—limited direct deal talk but sector consolidation signals raise moderate takeover likelihood.,0
SPTRD1918053,baseline,0,extract,masked,r1,gpt-5-mini,v1,CoreSite Realty Corporation*,0,0,1,2021-05,1.8,929,166,0.000564,stop,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,other,0,0,[],"No headlines or substantive text provided; only a single 8-K noted, so virtually no evidence for M&A signals—assigned minimal baseline acquisition likelihood.",0
SPTRD1800374,pre,1,extract,masked,r1,gpt-5-mini,v1,Great American Life Insurance Company,0,0,5,2021-01,2.12,929,164,0.00056,stop,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,other,0,0,[],"No headlines provided; only five Form 8-Ks noted, which is insufficient to infer M&A signals—default to very low probabilities.",1
SPTRD1800374,baseline,0,extract,masked,r1,gpt-5-mini,v1,Great American Life Insurance Company,0,0,4,2020-07,2.32,929,218,0.000668,stop,0,1,,0,0,0,0,0,0,0,0,0,0,2,0,other,0,0,[],"No headlines provided; only note of four 8-Ks gives minimal signal, so almost all dimensions score zero and acquisition likelihood remains very low (but not zero).",0
SPTRD1918053,pre,1,extract,masked,r1,gpt-5-mini,v1,CoreSite Realty Corporation*,0,0,3,2021-11,2.58,936,209,0.000652,stop,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,other,0,0,[],No headlines provided; only filing types listed so there is no textual evidence of M&A signals—default to minimal acquisition likelihood.,1
SPTRD1954425,pre,1,extract,masked,r1,gpt-5-mini,v1,"Twitter, Inc.",46,46,86,2022-04,2.02,2180,185,0.000915,stop,0,1,,0,0,0,0,0,0,0,0,0,1,1,1,other,0,0,[],"Headlines are general local, sports, and human-interest items with no M&A, finance, leadership, or sector consolidation signals; only a single neutral expansion-style item ('New Dunkin Donuts to be built on Bay Street in Winslow').",1
SPTRD1954425,baseline,0,extract,masked,r1,gpt-5-mini,v1,"Twitter, Inc.",0,0,91,2021-10,2.11,929,219,0.00067,stop,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,other,0,0,[],"No headlines provided; only filing count (8-K x91) is reported, which alone is insufficient to infer M&A signals—assign near-zero likelihood but not absolute zero.",0
SPTRD2085471,baseline,0,extract,masked,r1,gpt-5-mini,v1,Copeland LP*,43,43,2,2023-12,1.87,2042,169,0.000848,stop,0,1,,0,0,0,0,0,0,0,0,0,1,1,1,other,0,0,[],"Headlines are general local/sports/entertainment items with no explicit M&A, activist, financial distress, or strategic-review language; minimal growth news only.",0
SPTRD2030080,pre,1,extract,masked,r1,gpt-5-mini,v1,Commercial Renewables business,2,2,1,2023-06,2.4,996,258,0.000765,stop,0,1,,0,0,0,0,1,0,0,0,0,2,3,3,macro_sector,1,0,"[""Duke Energy delivers sustainable value as it responsibly navigates clean energy transition , CEO tells shareholders at annual meeting"", ""Warm winter cuts energy use and sends Duke Energy profits lower""]",Headlines focus on routine corporate messaging about clean-energy transition and a weather-driven profit dip—no M&A signals; modest distress from lower profits and steady strategic tone.,1
SPTRD2030080,baseline,0,extract,masked,r1,gpt-5-mini,v1,Commercial Renewables business,4,4,1,2022-12,2.74,1042,291,0.000843,stop,0,1,,7,6,0,1,4,3,2,0,7,1,25,8,other,1,0,"[""Duke Energy ( NYSE : DUK ) Kicks Off Sale Process for $4 Billion Renewable Unit (bloomberg.com)"", ""Duke Kicks Off Sale Process for $4 Billion Renewable Unit (bnnbloomberg.ca)"", ""Duke Energy hopes renewable biz sale makes stock more attractive (whqr.org)""]","Headlines show an active sale process for a $4B renewables unit and guidance cut, indicating divestiture activity and some financial pressure but no activist or antitrust signs.",0
SPTRD2085471,pre,1,extract,masked,r1,gpt-5-mini,v1,Copeland LP*,43,43,6,2024-05,2.19,2089,205,0.000932,stop,0,1,,0,0,0,0,0,0,0,0,0,1,2,1,other,0,0,"[""\""Gangrel On Reuniting With Adam [COMPANY] At AEW Double Or Nothing 2024\"""", ""\""Update on Tony Khan Views on AEW and WBD Media Rights Negotiations\""""]","Headlines are entertainment/sports-focused with no M&A, financial, or leadership signals; only routine publicity items suggest minimal acquisition likelihood.",1
SPTRD217334,pre,1,extract,masked,r1,gpt-5-mini,v1,Columbia Pipeline Partners LP,0,0,10,2016-09,2.1,929,215,0.000662,stop,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,other,0,0,[],"No headlines provided; only that ten 8-Ks filed—insufficient public-text evidence to indicate M&A signals, so scores default to near zero.",1
SPTRD217334,baseline,0,extract,masked,r1,gpt-5-mini,v1,Columbia Pipeline Partners LP,0,0,11,2016-03,2.36,929,222,0.000676,stop,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,other,0,0,[],"No headlines were provided; only that 11 Form 8‑Ks were filed—insufficient textual evidence to indicate M&A signals, so scores are effectively zero and acquisition likelihood is minimal.",0
SPTRD315846,baseline,0,extract,masked,r1,gpt-5-mini,v1,Swift Transportation Company,0,0,5,2016-10,2.17,929,228,0.000688,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,0,other,0,0,[],"No headlines provided; only that five Form 8‑Ks were filed—insufficient to infer deal signals, so default low scores with a neutral ~5% acquisition likelihood adjusted to 5/100 reflecting pure uncertainty.",0
SPTRD315846,pre,1,extract,masked,r1,gpt-5-mini,v1,Swift Transportation Company,0,0,6,2017-04,2.08,936,226,0.000686,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,0,other,0,0,[],"No headlines provided; only SEC filing types noted (multiple Form 8‑Ks and a DEFM14A) give minimal indirect signal, so most dimensions score zero and a neutral low acquisition likelihood is assigned.",1
SPTRD1682496,pre,1,extract,unmasked,r2,gpt-5-mini,v1,"TerraForm Power, Inc.",0,0,6,2020-01,2.54,929,221,0.000674,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,0,other,1,0,[],"No headlines provided; only company name and SEC filing count—insufficient direct signals, so default low scores but modest baseline acquisition likelihood given sector and presence of multiple 8‑Ks.",1
SPTRD1790142,pre,1,extract,unmasked,r2,gpt-5-mini,v1,"Pluralsight, LLC*",0,0,2,2020-12,2.54,929,229,0.00069,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,0,other,1,0,[],"No headlines provided—only company name, period, and two 8-Ks; absent textual signals all specific dimensions score zero, with a neutral midrange acquisition likelihood reflecting typical baseline M&A chance for a public tech firm.",1
SPTRD1790142,baseline,0,extract,unmasked,r2,gpt-5-mini,v1,"Pluralsight, LLC*",0,0,5,2020-06,2.61,929,229,0.00069,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,0,other,1,0,[],"No headlines provided; only the company name, period, and that five Form 8-Ks were filed—insufficient specific textual signals, but modest baseline acquisition likelihood assigned given typical mid‑market SaaS M&A activity.",0
SPTRD1767480,baseline,0,extract,unmasked,r2,gpt-5-mini,v1,ZeniMax Media Inc.*,7,7,0,2020-03,2.94,1124,225,0.000731,stop,0,1,,5,0,0,0,0,0,1,0,0,3,20,4,ma_speculation,1,0,"[""Dont Believe the Sony Buying Zenimax Rumor , It Baseless and Likely Fake"", ""Sony Rumored Acquisition Of ZeniMax Kicks Off 2020"", ""Ridiculous Rumour Claims Sony Is About to Buy Bethesda Parent Company ZeniMax and All Its Studios""]","Multiple contemporaneous headlines speculate Sony may buy ZeniMax, but they are rumor-focused and include denials; no filings, advisers, or concrete deal details appear.",0
SPTRD1767480,pre,1,extract,unmasked,r2,gpt-5-mini,v1,ZeniMax Media Inc.*,16,16,1,2020-09,3.68,1307,254,0.000835,stop,0,1,,0,0,0,0,0,0,1,0,0,1,5,2,other,1,1,"[""Mobile games platform Skillz to go public via merger with SPAC Flying Eagle Acquisition"", ""San Francisco mobile gaming company Skillz to go public through SPAC""]",Most headlines are unrelated news; only a couple reference gaming industry SPAC activity suggesting modest sector M&A/IPO activity but no direct deal talk about ZeniMax.,1
SPTRD1682496,baseline,0,extract,unmasked,r2,gpt-5-mini,v1,"TerraForm Power, Inc.",36,36,3,2019-07,3.69,1851,298,0.001059,stop,0,1,,2,2,3,2,1,2,3,0,1,5,12,4,macro_sector,1,0,"[""SHAREHOLDER ALERT : Purcell Julie & Lefkowitz LLP Is Investigating TerraForm Power , Inc . for Potential Breaches Of Fiduciary Duty By Its Board of Directors"", ""TerraForm Power ( TERP ) Presents At J . P . Morgan 2019 Energy Conference - Slideshow"", ""TerraForm Power : Margin Enhancement Initiatives Will Improve Its Outlook In 2019""]",Coverage is largely sector and dividend-focused with one shareholder lawsuit and investor conference presence; limited explicit M&A or strategic-review language.,0
SPTRD1800374,baseline,0,extract,unmasked,r2,gpt-5-mini,v1,Great American Life Insurance Company,0,0,4,2020-07,2.08,931,225,0.000683,stop,0,1,,0,0,0,0,0,0,0,0,0,0,2,0,other,1,0,[],"No headlines provided; only company name, period, and note of four Form 8-Ks—insufficient textual evidence for M&A signals, so scores default near zero with a small baseline acquisition likelihood.",0
SPTRD1800374,pre,1,extract,unmasked,r2,gpt-5-mini,v1,Great American Life Insurance Company,0,0,5,2021-01,2.11,931,212,0.000657,stop,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,other,0,0,[],"No headlines or substantive signals provided; only that five Form 8-Ks were filed, which is insufficient to infer M&A precursors.",1
SPTRD1918053,pre,1,extract,unmasked,r2,gpt-5-mini,v1,CoreSite Realty Corporation*,0,0,3,2021-11,2.35,936,221,0.000676,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,1,other,1,0,[],"No headlines provided; only filings and company identity—insufficient textual signals, so most dimensions score zero; modest baseline acquisition likelihood (5%) reflects that REITs are occasional targets.",1
SPTRD1918053,baseline,0,extract,unmasked,r2,gpt-5-mini,v1,CoreSite Realty Corporation*,0,0,1,2021-05,2.68,929,222,0.000676,stop,0,1,,0,0,0,0,0,0,0,0,0,0,2,0,other,1,0,[],"No headlines provided; only company name and a single 8-K noted, so no public-text evidence of M&A signals—small baseline acquisition likelihood (2%) assigned only as minimal prior.",0
SPTRD1954425,pre,1,extract,unmasked,r2,gpt-5-mini,v1,"Twitter, Inc.",46,46,86,2022-04,2.15,2178,169,0.000883,stop,0,1,,0,0,0,0,0,0,0,0,0,0,1,1,other,1,0,[],"Headlines provided contain no mention of Twitter, M&A, leadership, financials, or sector activity—mostly unrelated local and sports news; extremely little relevant signal.",1
SPTRD1954425,baseline,0,extract,unmasked,r2,gpt-5-mini,v1,"Twitter, Inc.",0,0,91,2021-10,2.68,927,219,0.00067,stop,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,other,1,0,[],"No headlines provided; only company name and filing count—insufficient textual signals, so scores are uniformly near zero with a minimal nonzero acquisition likelihood for any notable public company.",0
SPTRD2030080,baseline,0,extract,unmasked,r2,gpt-5-mini,v1,Commercial Renewables business,4,4,1,2022-12,2.24,1043,269,0.000799,stop,0,1,,8,7,0,2,3,4,2,0,7,1,55,7,ma_speculation,1,0,"[""Duke Energy hopes renewable biz sale makes stock more attractive"", ""Duke Energy ( NYSE : DUK ) Kicks Off Sale Process for $4 Billion Renewable Unit""]","Multiple headlines explicitly state Duke kicked off a sale process for a $4B renewables unit and link the move to making stock more attractive amid lowered guidance, indicating an active divestiture and credible M&A process.",0
SPTRD2030080,pre,1,extract,unmasked,r2,gpt-5-mini,v1,Commercial Renewables business,2,2,1,2023-06,2.59,997,258,0.000765,stop,0,1,,0,0,0,0,1,0,0,0,0,3,3,3,macro_sector,1,0,"[""Duke Energy delivers sustainable value as it responsibly navigates clean energy transition , CEO tells shareholders at annual meeting"", ""Warm winter cuts energy use and sends Duke Energy profits lower""]","Headlines show routine corporate messaging about clean-energy strategy and a weather-driven profit dip; no deal talk or activist/regulatory signals, implying low near-term acquisition likelihood.",1
SPTRD2085471,baseline,0,extract,unmasked,r2,gpt-5-mini,v1,Copeland LP*,43,43,2,2023-12,1.95,2039,187,0.000884,stop,0,1,,0,0,0,0,0,0,0,0,0,1,1,1,other,0,0,"[""\""Suicide rates highest in Copeland and Barrow according to report\""""]","Headlines contain no M&A, financial, leadership or strategic-alternatives content about Copeland; only an incidental social/statistic mention, so takeover signals are effectively absent.",0
SPTRD2085471,pre,1,extract,unmasked,r2,gpt-5-mini,v1,Copeland LP*,43,43,6,2024-05,2.51,2084,248,0.001017,stop,0,1,,0,0,0,0,0,0,0,0,0,1,1,1,other,0,0,"[""Gangrel On Reuniting With Adam Copeland At AEW Double Or Nothing 2024 (ewrestlingnews.com)"", ""AEW Dynamite recap , review ( May 29 , 2024 ): Bruv earns world title shot (cagesideseats.com)"", ""AEW Dynamite Viewership Increases On 5 / 29 , Demo Also Rises (wrestlezone.com)""]","Headlines are entertainment and local news with no M&A, finance, or strategic-review language; minimal growth/operational items only.",1
SPTRD217334,baseline,0,extract,unmasked,r2,gpt-5-mini,v1,Columbia Pipeline Partners LP,0,0,11,2016-03,2.05,928,176,0.000584,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,1,other,1,0,[],"No headlines provided; only that Columbia Pipeline had multiple Form 8‑K filings (11) in the window—insufficient detail for strong signals, giving a neutral modest chance of M&A activity.",0
SPTRD217334,pre,1,extract,unmasked,r2,gpt-5-mini,v1,Columbia Pipeline Partners LP,0,0,10,2016-09,2.36,928,224,0.00068,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,0,other,1,0,[],"No headlines provided; only company name, period and note of multiple 8‑K filings—insufficient textual signals, so default to low/no evidence but modest baseline acquisition likelihood for an infrastructure asset.",1
SPTRD315846,baseline,0,extract,unmasked,r2,gpt-5-mini,v1,Swift Transportation Company,0,0,5,2016-10,2.24,929,222,0.000676,stop,0,1,,0,0,0,0,0,0,0,0,0,0,1,1,other,1,0,[],"No headlines provided; only company name, period and note of five Form 8‑Ks—insufficient textual evidence for M&A signals, so scores are near zero and acquisition likelihood minimal.",0
SPTRD315846,pre,1,extract,unmasked,r2,gpt-5-mini,v1,Swift Transportation Company,0,0,6,2017-04,2.67,936,227,0.000688,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,1,other,1,0,[],"No headlines provided; only filing types (multiple 8-Ks and a DEFM14A) suggest routine corporate activity—insufficient textual evidence for strong M&A signals, so likelihood is modestly above zero.",1
SPTRD1682496,pre,1,extract,unmasked,r1,gpt-5,v1,"TerraForm Power, Inc.",0,0,6,2020-01,2.78,929,180,0.002961,stop,0,1,,0,0,0,0,0,0,0,0,0,0,5,0,other,1,0,[],"No headlines provided; with only the company name and filings count, there’s no basis to infer M&A precursors, so all signal scores are zero and overall likelihood defaults to a neutral midpoint due to lack of information.",1
SPTRD1767480,baseline,0,extract,unmasked,r1,gpt-5,v1,ZeniMax Media Inc.*,7,7,0,2020-03,3.12,1124,232,0.003725,stop,0,1,,4,0,0,0,0,0,2,0,0,2,18,3,ma_speculation,1,0,"[""\""Sony Rumored Acquisition Of ZeniMax Kicks Off 2020\"""", ""\""Ridiculous Rumour Claims Sony Is About to Buy Bethesda Parent Company ZeniMax and All Its Studios\"""", ""\""Dont Believe the Sony Buying Zenimax Rumor , It Baseless and Likely Fake\""""]","Coverage centers on unverified Sony-to-acquire-ZeniMax rumors without concrete steps; otherwise routine product/news tie-ins, yielding modest M&A signal but little substantive evidence.",0
